1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
370, idas:winter_wagon, HEADING, header:ignore, 0, 0, 0
371, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
372, idas:treetop_tavern, HEADING, header:ignore, 0, 0, 0
373, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
374, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
375, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
376, friendsandfoes:citadel, MONSTER, minecraft:blaze, 10, 1, 2
377, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
378, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
379, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
380, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
381, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
382, ctov:large/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
383, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
384, ctov:large/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
385, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
386, ctov:large/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
387, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
388, ctov:large/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
389, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
390, ctov:large/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
391, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
392, ctov:large/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
393, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
394, ctov:large/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
395, ctov:large/village_desert, HEADING, header:ignore, 0, 0, 0
396, ctov:large/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
397, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
398, ctov:large/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
399, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
400, ctov:large/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
401, ctov:large/village_snowy, HEADING, header:ignore, 0, 0, 0
402, ctov:large/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
403, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
404, ctov:large/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
405, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
406, ctov:medium/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
407, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
408, ctov:medium/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
409, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
410, ctov:medium/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
411, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
412, ctov:medium/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
413, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
414, ctov:medium/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
415, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
416, ctov:medium/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
417, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
418, ctov:medium/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
419, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
420, ctov:medium/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
421, ctov:medium/village_plains, HEADING, header:ignore, 0, 0, 0
422, ctov:medium/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
423, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
424, ctov:medium/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
425, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
426, ctov:medium/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
427, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
428, ctov:medium/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
429, ctov:small/village_beach, HEADING, header:ignore, 0, 0, 0
430, ctov:small/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
431, ctov:small/village_dark_forest, HEADING, header:ignore, 0, 0, 0
432, ctov:small/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
433, ctov:small/village_jungle, HEADING, header:ignore, 0, 0, 0
434, ctov:small/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
435, ctov:small/village_mesa, HEADING, header:ignore, 0, 0, 0
436, ctov:small/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
437, ctov:small/village_mountain, HEADING, header:ignore, 0, 0, 0
438, ctov:small/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
439, ctov:small/village_mushroom, HEADING, header:ignore, 0, 0, 0
440, ctov:small/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
441, ctov:small/village_swamp, HEADING, header:ignore, 0, 0, 0
442, ctov:small/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
443, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
444, ctov:small/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
445, ctov:small/village_plains, HEADING, header:ignore, 0, 0, 0
446, ctov:small/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
447, ctov:small/village_savanna, HEADING, header:ignore, 0, 0, 0
448, ctov:small/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
449, ctov:small/village_snowy, HEADING, header:ignore, 0, 0, 0
450, ctov:small/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
451, ctov:small/village_taiga, HEADING, header:ignore, 0, 0, 0
452, ctov:small/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
453, structory_towers:end/end_tower, HEADING, header:ignore, 0, 0, 0
454, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
455, ctov:medium/village_underground, HEADING, header:ignore, 0, 0, 0
456, ctov:pillager_outpost_mesa, HEADING, header:ignore, 0, 0, 0
457, ctov:pillager_outpost_mesa, MONSTER, minecraft:pillager, 10, 1, 5
458, ctov:pillager_outpost_mesa, MONSTER, minecraft:evoker, 10, 1, 1
459, ctov:pillager_outpost_mesa, MONSTER, minecraft:vindicator, 10, 1, 3
460, ctov:pillager_outpost_mesa, MONSTER, minecraft:witch, 10, 1, 1
461, ctov:large/village_underground, HEADING, header:ignore, 0, 0, 0
462, ctov:small/village_underground, HEADING, header:ignore, 0, 0, 0
463, extradelight:rail_stop, HEADING, header:ignore, 0, 0, 0
464, idas:iceandfire/dread_citadel, HEADING, header:ignore, 0, 0, 0
465, extradelight:pumpkin_patch3, HEADING, header:ignore, 0, 0, 0
